[INFO] [1761301062.082615180] [straight_path_commander]: StraightPathCommander ready: waiting for controller_server follow_path action
[WARN] [1761301063.059263459] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301064.059716098] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301065.059249504] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301066.059346171] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301067.059209342] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301068.059467449] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301069.059279006] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301070.059656572] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301071.059447579] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301072.059422200] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301073.059549639] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301075.775788228] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301076.061210138] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301077.059322516] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301078.059205855] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301079.059733464] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301080.059297062] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301081.059719378] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301082.059965669] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301083.059274109] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301084.059506343] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301085.059493424] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301086.063818306] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301087.059340988] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301088.059226742] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301089.059726587] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301090.059294172] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301091.059227852] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301092.059352507] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301093.059281846] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301094.059275183] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301095.061251598] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301096.059287077] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301097.059253189] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301098.060361066] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301099.059187382] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301100.059378837] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301101.059791597] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301102.060224416] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301103.059243647] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301104.059382360] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301105.059273675] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301106.059232598] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301107.059478533] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301109.746674956] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301110.059147535] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301111.059429900] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301112.059162368] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301113.059288579] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301114.059235072] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301115.059201585] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301116.059298781] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301117.062805200] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301118.059275251] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301119.059509521] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301120.059200476] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301121.059632482] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301122.059110902] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301123.059410735] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301124.059258661] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301125.059331968] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301126.059279545] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301127.067170927] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301128.059238701] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301129.059411729] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301130.063001854] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301131.059358706] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301132.060281863] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301133.063065324] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301134.059172090] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301135.059395076] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301136.059289894] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301137.059364322] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301138.059180921] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301139.059676916] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301140.059173310] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301141.059128497] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301142.059138765] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301144.768654153] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301145.059268162] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301146.060077117] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301147.059333097] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301148.059501787] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301149.060722262] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301150.059535212] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301151.059571755] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301152.059348868] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301153.059322614] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301154.059201419] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301155.059444828] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301156.059598735] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301157.059222385] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301158.059434502] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301159.059469779] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301160.060107064] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301161.059438077] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301162.059498294] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301163.059320143] [straight_path_commander]: Unable to resolve robot pose; will retry.
[WARN] [1761301164.059488237] [straight_path_commander]: Unable to resolve robot pose; will retry.
